hotspot_id,latitude,longitude
1,11.1711016,123.4625467
2,11.2061053,123.2169966
3,11.2623785,123.1159574
4,11.2892688,123.3836846
5,11.3065979,123.5344451
6,11.3398861,123.1591792
18,11.6062329,123.262875
19,11.6141648,123.3049282
17,11.5489905,123.2645727
7,11.4290929,123.2214206
16,11.4466293,123.157811
15,11.4439327,123.1587135
13,11.4405376,123.1593418
12,11.4379184,123.1582603
10,11.4356218,123.1560974
8,11.4353683,123.1537777
9,11.4355143,123.1503532
11,11.436866,123.1473987
14,11.4405656,123.1464737
0,1.0,123.0431768
